,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000115457,1665.171962,4.058337274,0.271167741,14.9661507,1.22E-50,2.04E-46,IGFBP2
ENSG00000136872,1363.220413,5.951853859,0.474724471,12.53749117,4.66E-36,3.88E-32,ALDOB
ENSG00000110721,1568.599077,-1.647716396,0.133028618,-12.38617989,3.10E-35,1.73E-31,CHKA
ENSG00000205403,894.8445708,4.105598269,0.343811074,11.94143698,7.20E-33,3.00E-29,CFI
ENSG00000062038,1334.562848,4.960092473,0.427644354,11.59863899,4.19E-31,1.40E-27,CDH3
ENSG00000101098,125.0862768,-6.972862319,0.603791601,-11.54845862,7.52E-31,2.09E-27,RIMS4
ENSG00000174358,730.8930863,-6.717789079,0.59202803,-11.34707943,7.67E-30,1.83E-26,SLC6A19
ENSG00000131203,2117.841515,5.620601812,0.507144669,11.08283722,1.52E-28,3.17E-25,IDO1
ENSG00000187258,165.0286968,8.08998645,0.767182899,10.54505577,5.35E-26,9.92E-23,NPSR1
ENSG00000137673,787.5657415,7.189052867,0.701042741,10.25479966,1.13E-24,1.88E-21,MMP7
ENSG00000177103,143.3126586,-4.173889879,0.407419972,-10.24468649,1.25E-24,1.90E-21,DSCAML1
ENSG00000162739,600.6110392,2.353068136,0.230431122,10.21158998,1.76E-24,2.45E-21,SLAMF6
ENSG00000240563,495.6354499,5.141825114,0.507737283,10.12694021,4.20E-24,5.38E-21,L1TD1
ENSG00000163599,586.2202294,3.598581304,0.356364455,10.09803659,5.64E-24,6.72E-21,CTLA4
ENSG00000111700,164.6884734,8.076411532,0.822613538,9.81799005,9.42E-23,1.05E-19,SLCO1B3
ENSG00000243509,1189.965312,4.162591537,0.425789322,9.776176444,1.42E-22,1.49E-19,TNFRSF6B
ENSG00000213886,183.6881605,4.352579454,0.446631957,9.745338165,1.93E-22,1.90E-19,UBD
ENSG00000163220,3802.700426,7.048197742,0.72880808,9.670855661,4.01E-22,3.72E-19,S100A9
ENSG00000169248,611.8215466,5.979915926,0.626012321,9.552393339,1.27E-21,1.11E-18,CXCL11
ENSG00000156219,50.12226722,5.466480355,0.579121666,9.439260646,3.75E-21,3.13E-18,ART3
ENSG00000105650,273.258759,-3.620093191,0.386164096,-9.374494496,6.95E-21,5.52E-18,PDE4C
ENSG00000172927,588.9163632,2.710332199,0.292945884,9.251989352,2.20E-20,1.67E-17,MYEOV
ENSG00000140274,6253.674991,7.198020758,0.783536043,9.186585383,4.06E-20,2.94E-17,DUOXA2
ENSG00000163817,532.2368895,4.351033176,0.476190488,9.137169437,6.41E-20,4.46E-17,SLC6A20
ENSG00000144452,1498.326411,5.933025738,0.656082763,9.043105646,1.52E-19,9.79E-17,ABCA12
ENSG00000122711,3521.374411,4.592320994,0.50783646,9.04291313,1.53E-19,9.79E-17,SPINK4
ENSG00000165376,356.2050743,6.170406805,0.68562161,8.999726258,2.26E-19,1.40E-16,CLDN2
ENSG00000211896,908540.3925,6.613058956,0.743087576,8.899434162,5.61E-19,3.34E-16,IGHG1
ENSG00000155816,132.2786177,-6.196783027,0.697240099,-8.887588413,6.24E-19,3.59E-16,FMN2
ENSG00000196136,491.947596,5.35274855,0.605512925,8.840023611,9.57E-19,5.32E-16,SERPINA3
ENSG00000143546,829.8550544,7.190570141,0.814586804,8.827260773,1.07E-18,5.77E-16,S100A8
ENSG00000138669,231.5553359,-4.54423641,0.515721654,-8.811412848,1.24E-18,6.44E-16,PRKG2
ENSG00000140279,63882.84059,5.42536333,0.620561257,8.742671685,2.28E-18,1.15E-15,DUOX2
ENSG00000155850,90512.61753,-5.431055987,0.621553819,-8.737869221,2.38E-18,1.17E-15,SLC26A2
ENSG00000198959,6163.895496,4.906147337,0.566773328,8.656277728,4.87E-18,2.32E-15,TGM2
ENSG00000211897,166790.3043,6.64976236,0.76913504,8.645767017,5.34E-18,2.48E-15,IGHG3
ENSG00000187908,90708.74664,5.662368441,0.655489062,8.638387383,5.70E-18,2.57E-15,DMBT1
ENSG00000100342,4764.964178,3.687182334,0.427450779,8.625981077,6.35E-18,2.75E-15,APOL1
ENSG00000156234,110.4009266,6.76826014,0.784740903,8.624834154,6.42E-18,2.75E-15,CXCL13
ENSG00000131067,500.4324851,-1.75498719,0.203897618,-8.607198117,7.49E-18,3.12E-15,GGT7
ENSG00000175497,192.6289206,-6.31348465,0.735008928,-8.589670694,8.72E-18,3.55E-15,DPP10
ENSG00000153395,2610.359879,2.747441355,0.321611645,8.542729718,1.31E-17,5.21E-15,LPCAT1
ENSG00000119986,1489.926213,-1.413778184,0.166148133,-8.50914277,1.75E-17,6.80E-15,AVPI1
ENSG00000170382,762.4481601,-4.46083833,0.525827902,-8.483456871,2.19E-17,8.10E-15,LRRN2
ENSG00000156587,1969.694178,2.653695195,0.312760215,8.484759471,2.16E-17,8.10E-15,UBE2L6
ENSG00000154263,233.6810791,-2.695016706,0.318516977,-8.461139908,2.65E-17,9.60E-15,ABCA10
ENSG00000173193,8651.756999,1.790318449,0.214359341,8.351949751,6.71E-17,2.38E-14,PARP14
ENSG00000128335,2575.165992,2.207036056,0.26525488,8.320435271,8.76E-17,3.05E-14,APOL2
ENSG00000161395,1279.416617,-1.549026457,0.187100168,-8.279129171,1.24E-16,4.22E-14,PGAP3
ENSG00000189431,120.6493912,-3.891138852,0.471612502,-8.250711841,1.57E-16,5.25E-14,RASSF10
ENSG00000129197,846.4931428,-1.300159723,0.157666811,-8.246248633,1.63E-16,5.35E-14,RPAIN
ENSG00000187783,289.5630123,-3.997949602,0.486150295,-8.223690587,1.97E-16,6.33E-14,TMEM72
ENSG00000149968,2451.817334,6.175683384,0.75174338,8.215148349,2.12E-16,6.67E-14,MMP3
ENSG00000106366,709.0325821,3.93555662,0.481893419,8.166861102,3.17E-16,9.78E-14,SERPINE1
ENSG00000132274,2187.099882,1.994074597,0.244903527,8.142286142,3.88E-16,1.18E-13,TRIM22
ENSG00000179583,1355.539061,2.663617886,0.328625503,8.105329213,5.26E-16,1.57E-13,CIITA
